Frame #1 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #2 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #3 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #4 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #5 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #6 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #7 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #8 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #9 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #10 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #11 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #12 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #13 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #14 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #15 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #16 {'emotion': 'joy', 'plausibility': 0.845124475524476, 'belief': 0.6068475524475528}
Frame #17 {'emotion': 'joy', 'plausibility': 0.845124475524476, 'belief': 0.6068475524475528}
Frame #18 {'emotion': 'joy', 'plausibility': 0.832424345460728, 'belief': 0.6215028901734106}
Frame #19 {'emotion': 'joy', 'plausibility': 0.9173611940298513, 'belief': 0.7321910447761198}
Frame #20 {'emotion': 'joy', 'plausibility': 0.7948520631551018, 'belief': 0.5122993233381985}
Frame #21 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #22 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #23 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #24 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #25 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #26 {'emotion': 'neutral', 'plausibility': 0.8835916990821469, 'belief': 0.3335696629428785}
Frame #27 {'emotion': 'neutral', 'plausibility': 0.41891530857600856, 'belief': 0.13678867218808446}
Frame #28 {'emotion': 'neutral', 'plausibility': 0.41891530857600856, 'belief': 0.13678867218808446}
Frame #29 {'emotion': 'neutral', 'plausibility': 0.41891530857600856, 'belief': 0.13678867218808446}
Frame #30 {'emotion': 'neutral', 'plausibility': 0.8835916990821469, 'belief': 0.3335696629428785}
Frame #31 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #32 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #33 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #34 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #35 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #36 {'emotion': 'neutral', 'plausibility': 0.41891530857600856, 'belief': 0.13678867218808446}
Frame #37 {'emotion': 'neutral', 'plausibility': 0.41891530857600856, 'belief': 0.13678867218808446}
Frame #38 {'emotion': 'joy', 'plausibility': 0.845124475524476, 'belief': 0.6068475524475528}
Frame #39 {'emotion': 'joy', 'plausibility': 0.845124475524476, 'belief': 0.6068475524475528}
Frame #40 {'emotion': 'joy', 'plausibility': 0.845124475524476, 'belief': 0.6068475524475528}
Frame #41 {'emotion': 'joy', 'plausibility': 0.845124475524476, 'belief': 0.6068475524475528}
Frame #42 {'emotion': 'joy', 'plausibility': 0.845124475524476, 'belief': 0.6068475524475528}
Frame #43 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #44 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #45 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #46 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #47 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #48 {'emotion': 'disgust', 'plausibility': 0.9778816000000001, 'belief': 0.6012544000000001}
Frame #49 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #50 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #51 {'emotion': 'joy', 'plausibility': 0.845124475524476, 'belief': 0.6068475524475528}
Frame #52 {'emotion': 'joy', 'plausibility': 0.845124475524476, 'belief': 0.6068475524475528}
Frame #53 {'emotion': 'sorrow', 'plausibility': 0.8984262336196631, 'belief': 0.3526866888206159}
Frame #54 {'emotion': 'sorrow', 'plausibility': 0.8984262336196631, 'belief': 0.3526866888206159}
Frame #55 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #56 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #57 {'emotion': 'sorrow', 'plausibility': 0.8984262336196631, 'belief': 0.3526866888206159}
Frame #58 {'emotion': 'sorrow', 'plausibility': 0.8984262336196631, 'belief': 0.3526866888206159}
Frame #59 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
Frame #60 {'emotion': 'neutral', 'plausibility': 0.6796468524768965, 'belief': 0.25657729892257575}
